,Survived,Pclass,Sex,Age,Fare,SibSp
0,0,3,1,34.5,7.8292,0
1,1,3,0,47.0,7.0,1
2,0,2,1,62.0,9.6875,0
3,0,3,1,27.0,8.6625,0
4,1,3,0,22.0,12.2875,1
5,0,3,1,14.0,9.225,0
6,1,3,0,30.0,7.6292,0
7,0,2,1,26.0,29.0,1
8,1,3,0,18.0,7.2292,0
9,0,3,1,21.0,24.15,2
11,0,1,1,46.0,26.0,0
12,1,1,0,23.0,82.2667,1
13,0,2,1,63.0,26.0,1
14,1,1,0,47.0,61.175,1
15,1,2,0,24.0,27.7208,1
16,0,2,1,35.0,12.35,0
17,0,3,1,21.0,7.225,0
18,1,3,0,27.0,7.925,1
19,1,3,0,45.0,7.225,0
20,0,1,1,55.0,59.4,1
21,0,3,1,9.0,3.1708,0
23,0,1,1,21.0,61.3792,0
24,1,1,0,48.0,262.375,1
25,0,3,1,50.0,14.5,1
26,1,1,0,22.0,61.9792,0
27,0,3,1,22.5,7.225,0
28,0,1,1,41.0,30.5,0
30,0,2,1,50.0,26.0,1
31,0,2,1,24.0,31.5,2
32,1,3,0,33.0,20.575,1
34,0,1,1,30.0,57.75,1
35,0,3,1,18.5,7.2292,0
37,1,3,0,21.0,8.6625,0
38,0,3,1,25.0,9.5,0
40,0,3,1,39.0,13.4167,0
42,0,3,1,41.0,7.85,0
43,1,2,0,30.0,13.0,0
44,1,1,0,45.0,52.5542,1
45,0,3,1,25.0,7.925,0
46,0,1,1,45.0,29.7,0
48,1,1,0,60.0,76.2917,0
49,1,3,0,36.0,15.9,0
50,0,1,1,24.0,60.0,1
51,0,2,1,27.0,15.0333,0
52,1,2,0,20.0,23.0,2
53,1,1,0,28.0,263.0,3
55,0,3,1,10.0,29.125,4
56,0,3,1,35.0,7.8958,0
57,0,3,1,25.0,7.65,0
59,1,1,0,36.0,262.375,0
60,0,3,1,17.0,7.8958,0
61,0,2,1,32.0,13.5,0
62,0,3,1,18.0,7.75,0
63,1,3,0,22.0,7.725,0
64,0,1,1,13.0,262.375,2
66,1,3,0,18.0,7.8792,0
67,0,1,1,47.0,42.4,0
68,0,1,1,31.0,28.5375,0
69,1,1,0,60.0,263.0,1
70,1,3,0,24.0,7.75,0
71,0,3,1,21.0,7.8958,0
72,1,3,0,29.0,7.925,0
73,0,1,1,28.5,27.7208,0
74,1,1,0,35.0,211.5,0
75,0,1,1,32.5,211.5,0
77,1,1,0,55.0,25.7,2
78,0,2,1,30.0,13.0,0
79,1,3,0,24.0,7.75,0
80,0,3,1,6.0,15.2458,1
81,0,1,1,67.0,221.7792,1
82,0,1,1,49.0,26.0,0
86,1,3,0,27.0,7.8792,0
87,1,3,0,18.0,8.05,0
89,0,2,1,2.0,23.0,1
90,1,3,0,22.0,13.9,1
92,1,1,0,27.0,52.0,1
94,0,1,1,25.0,26.0,0
95,0,3,1,25.0,7.7958,0
96,1,1,0,76.0,78.85,1
97,0,3,1,29.0,7.925,0
98,1,3,0,20.0,7.8542,0
99,0,3,1,33.0,8.05,0
100,1,1,0,43.0,55.4417,1
101,0,2,1,27.0,26.0,1
103,0,3,1,26.0,7.775,0
104,1,3,0,16.0,8.5167,1
105,0,3,1,28.0,22.525,0
106,0,3,1,21.0,7.8208,0
109,0,2,1,18.5,13.0,0
110,0,2,1,41.0,15.0458,0
112,1,1,0,36.0,31.6792,0
113,1,3,0,18.5,7.2833,0
114,1,1,0,63.0,221.7792,1
115,0,3,1,18.0,14.4542,1
117,1,3,0,1.0,16.7,1
118,0,1,1,36.0,75.2417,0
119,1,2,0,29.0,26.0,1
120,1,2,0,12.0,15.75,0
122,1,1,0,35.0,57.75,1
123,0,3,1,28.0,7.25,0
125,1,3,0,17.0,16.1,0
126,0,3,1,22.0,7.7958,0
128,0,2,1,42.0,13.0,0
129,0,3,1,24.0,8.05,0
130,0,3,1,32.0,8.05,0
131,0,1,1,53.0,28.5,0
134,0,3,1,43.0,7.8958,0
135,0,3,1,24.0,7.8542,0
136,0,3,1,26.5,7.225,0
137,0,2,1,26.0,13.0,0
138,1,3,0,23.0,8.05,0
139,0,3,1,40.0,46.9,1
140,1,3,0,10.0,46.9,5
141,1,1,0,33.0,151.55,0
142,0,1,1,61.0,262.375,1
143,0,2,1,28.0,26.0,0
144,0,1,1,42.0,26.55,0
145,0,3,1,31.0,18.0,3
147,0,3,1,22.0,8.05,0
149,0,2,1,30.0,26.0,1
150,1,1,0,23.0,83.1583,0
153,1,3,0,36.0,12.1833,0
154,0,3,1,13.0,31.3875,4
155,0,3,1,24.0,7.55,0
156,1,1,0,29.0,221.7792,0
157,1,3,0,23.0,7.8542,0
158,0,1,1,42.0,26.55,0
159,1,3,0,26.0,13.775,0
161,0,3,1,7.0,15.2458,1
162,1,2,0,26.0,13.5,0
164,0,2,1,41.0,13.0,0
165,1,3,0,26.0,22.025,1
166,0,1,1,48.0,50.4958,0
167,0,3,1,18.0,34.375,2
169,1,3,0,22.0,8.9625,0
171,0,3,1,27.0,7.225,0
172,0,3,1,23.0,13.9,1
174,0,3,1,40.0,31.3875,1
175,1,2,0,15.0,39.0,0
176,1,2,0,20.0,36.75,0
177,0,1,1,54.0,55.4417,1
178,1,2,0,36.0,39.0,0
179,1,1,0,64.0,83.1583,0
180,0,2,1,30.0,13.0,0
181,0,1,1,37.0,83.1583,1
182,1,1,0,18.0,53.1,1
184,1,1,0,27.0,247.5208,1
185,0,2,1,40.0,16.0,0
186,1,2,0,21.0,21.0,0
187,0,3,1,17.0,8.05,2
189,0,2,1,40.0,13.0,0
190,0,2,1,34.0,26.0,1
192,0,3,1,11.5,14.5,1
193,0,2,1,61.0,12.35,0
194,0,2,1,8.0,32.5,0
195,0,3,1,33.0,7.8542,0
196,0,1,1,6.0,134.5,0
197,1,3,0,18.0,7.775,0
198,0,2,1,23.0,10.5,0
201,0,3,1,0.33,14.4,0
202,0,1,1,47.0,227.525,1
203,1,2,0,8.0,26.0,1
204,0,2,1,25.0,10.5,0
206,1,3,0,35.0,7.75,0
207,0,2,1,24.0,10.5,0
208,1,1,0,33.0,27.7208,0
209,0,3,1,25.0,7.8958,0
210,0,3,1,32.0,22.525,0
212,0,2,1,17.0,73.5,0
213,1,2,0,60.0,26.0,1
214,1,3,0,38.0,7.775,4
215,0,1,1,42.0,42.5,0
217,0,1,1,57.0,164.8667,1
218,1,1,0,50.0,211.5,1
220,1,2,0,30.0,13.8583,1
221,0,3,1,21.0,8.05,0
222,1,2,0,22.0,10.5,0
223,0,3,1,21.0,7.7958,0
224,1,1,0,53.0,27.4458,0
226,0,3,1,23.0,7.7958,0
228,0,3,1,40.5,15.1,0
229,0,2,1,36.0,13.0,0
230,0,2,1,14.0,65.0,0
231,1,1,0,21.0,26.55,0
232,0,3,1,21.0,6.4958,1
234,0,1,1,39.0,71.2833,1
235,0,3,1,20.0,7.8542,0
236,0,1,1,64.0,75.25,1
237,0,3,1,20.0,7.225,0
238,1,2,0,18.0,13.0,1
239,1,1,0,48.0,106.425,1
240,1,1,0,55.0,27.7208,0
241,1,2,0,45.0,30.0,0
242,0,1,1,45.0,134.5,1
245,0,1,1,41.0,51.8625,1
246,1,2,0,22.0,21.0,0
247,0,2,1,42.0,32.5,1
248,1,2,0,29.0,26.0,1
250,1,2,0,0.92,27.75,1
251,0,3,1,20.0,7.925,0
252,0,1,1,27.0,136.7792,1
253,0,3,1,24.0,9.325,0
254,0,3,1,32.5,9.5,0
257,0,3,1,28.0,8.05,0
258,1,2,0,19.0,13.0,0
259,0,3,1,21.0,7.775,0
260,0,3,1,36.5,17.4,1
261,0,3,1,21.0,7.8542,0
262,1,2,0,29.0,23.0,0
263,1,3,0,1.0,12.1833,1
264,0,2,1,30.0,12.7375,0
269,0,3,1,17.0,8.6625,0
270,0,1,1,46.0,75.2417,0
272,1,1,0,26.0,136.7792,1
275,1,2,0,20.0,26.0,1
276,0,2,1,28.0,10.5,0
277,0,2,1,40.0,26.0,1
278,0,2,1,30.0,21.0,1
279,0,2,1,22.0,10.5,0
280,1,3,0,23.0,8.6625,0
281,0,3,1,0.75,13.775,1
283,1,3,0,9.0,15.2458,1
284,1,3,0,2.0,20.2125,1
285,0,3,1,36.0,7.25,0
287,0,1,1,24.0,82.2667,1
291,1,3,0,30.0,6.95,0
293,0,1,1,53.0,81.8583,1
294,0,3,1,36.0,9.5,0
295,0,3,1,26.0,7.8958,0
296,1,2,0,1.0,41.5792,1
298,0,1,1,30.0,45.5,0
299,0,3,1,29.0,7.8542,0
300,0,3,1,32.0,7.775,0
302,0,2,1,43.0,21.0,0
303,0,3,1,24.0,8.6625,0
305,1,1,0,64.0,26.55,1
306,0,1,1,30.0,151.55,1
307,0,3,1,0.83,9.35,0
308,0,1,1,55.0,93.5,1
309,1,3,0,45.0,14.1083,1
310,0,3,1,18.0,8.6625,0
311,0,3,1,22.0,7.225,0
313,1,3,0,37.0,7.75,0
314,1,1,0,55.0,135.6333,0
315,1,3,0,17.0,7.7333,0
316,0,1,1,57.0,146.5208,1
317,0,2,1,19.0,10.5,0
318,0,3,1,27.0,7.8542,0
319,0,2,1,22.0,31.5,2
320,0,3,1,26.0,7.775,0
321,0,3,1,25.0,7.2292,0
322,0,2,1,26.0,13.0,0
323,0,1,1,33.0,26.55,0
324,1,1,0,39.0,211.3375,0
325,0,3,1,23.0,7.05,0
326,1,2,0,12.0,39.0,2
327,0,1,1,46.0,79.2,0
328,0,2,1,29.0,26.0,1
329,0,2,1,21.0,13.0,0
330,1,2,0,48.0,36.75,0
331,0,1,1,39.0,29.7,0
333,1,3,0,19.0,15.7417,1
334,0,3,1,27.0,7.8958,0
335,0,1,1,30.0,26.0,0
336,0,2,1,32.0,13.0,0
337,0,3,1,39.0,7.2292,0
338,0,2,1,25.0,31.5,0
340,0,2,1,18.0,10.5,0
341,0,3,1,32.0,7.5792,0
343,1,1,0,58.0,512.3292,0
345,1,3,0,16.0,7.65,0
346,0,2,1,26.0,13.0,0
347,1,3,0,38.0,7.2292,0
348,0,2,1,24.0,13.5,0
349,1,2,0,31.0,21.0,0
350,1,1,0,45.0,63.3583,0
351,0,2,1,25.0,10.5,0
352,0,2,1,18.0,73.5,0
353,0,2,1,49.0,65.0,1
354,1,3,0,0.17,20.575,1
355,0,1,1,50.0,26.0,0
356,1,1,0,59.0,51.4792,2
359,1,3,0,30.0,15.55,1
360,0,3,1,14.5,69.55,8
361,1,2,0,24.0,37.0042,1
362,1,2,0,31.0,21.0,0
363,0,3,1,27.0,8.6625,0
364,1,1,0,25.0,55.4417,1
367,1,3,0,22.0,39.6875,0
368,1,1,0,45.0,59.4,0
369,0,2,1,29.0,13.8583,0
370,0,2,1,21.0,11.5,1
371,1,1,0,31.0,134.5,0
372,0,1,1,49.0,0.0,0
373,0,2,1,44.0,13.0,0
374,1,1,0,54.0,81.8583,1
375,1,1,0,45.0,262.375,0
376,1,3,0,22.0,8.6625,2
377,0,2,1,21.0,11.5,0
378,0,1,1,55.0,50.0,0
379,0,3,1,5.0,31.3875,4
381,0,3,1,26.0,7.8792,0
383,1,3,0,19.0,16.1,1
385,1,2,0,24.0,65.0,1
386,0,3,1,24.0,7.775,0
387,0,2,1,57.0,13.0,0
388,0,3,1,21.0,7.75,0
389,0,3,1,6.0,21.075,3
390,0,1,1,23.0,93.5,0
391,1,1,0,51.0,39.4,0
392,0,3,1,13.0,20.25,0
393,0,2,1,47.0,10.5,0
394,0,3,1,29.0,22.025,3
395,1,1,0,18.0,60.0,1
396,0,3,1,24.0,7.25,0
397,1,1,0,48.0,79.2,1
398,0,3,1,22.0,7.775,0
399,0,3,1,31.0,7.7333,0
400,1,1,0,30.0,164.8667,0
401,0,2,1,38.0,21.0,1
402,1,1,0,22.0,59.4,0
403,0,1,1,17.0,47.1,0
404,0,1,1,43.0,27.7208,1
405,0,2,1,20.0,13.8625,0
406,0,2,1,23.0,10.5,1
407,0,1,1,50.0,211.5,1
409,1,3,0,3.0,13.775,1
411,1,1,0,37.0,90.0,1
412,1,3,0,28.0,7.775,0
414,1,1,0,39.0,108.9,0
415,0,3,1,38.5,7.25,0
